Time(s),Initial_Profile,Profile_iter_1,Profile_iter_2,Profile_iter_3,Profile_iter_4,Profile_iter_5,Profile_iter_6,Profile_iter_7,Profile_iter_8,Profile_iter_9,Profile_iter_10,Profile_iter_11,Profile_iter_12,Profile_iter_13,Profile_iter_14,Profile_iter_15,Profile_iter_16,Profile_iter_17,Profile_iter_18,Profile_iter_19,Profile_iter_20
695,-1.5907667089491229,-1.5907667089491229,-1.5884994275663074,-1.5884994275663074,-1.5884994275663074,-1.5860724487190856,-1.5860724487190856,-1.5860724487190856,-1.5833744986459148,-1.5833744986459148,-1.5833744986459148,-1.5803210416760258,-1.5803210416760258,-1.5803210416760258,-1.5769318427263155,-1.5769318427263155,-1.5769318427263155,-1.5769318427263155,-1.5769318427263155,-1.573057502877214,-1.573057502877214
696,-1.693689104342694,-1.693689104342694,-1.6914518574918787,-1.6914518574918787,-1.6914518574918787,-1.688982239501252,-1.688982239501252,-1.688982239501252,-1.6863204613547378,-1.6863204613547378,-1.6863204613547378,-1.683308283676209,-1.683308283676209,-1.683308283676209,-1.6798885221077193,-1.6798885221077193,-1.6798885221077193,-1.6798885221077189,-1.6798885221077189,-1.6760639129608235,-1.6760639129608235
697,-1.7388748542151022,-1.7388748542151022,-1.736667667058847,-1.736667667058847,-1.7366676670588461,-1.7342331814362781,-1.7342331814362772,-1.7342331814362772,-1.731529778542396,-1.731529778542396,-1.731529778542396,-1.7285588801552265,-1.7285588801552265,-1.7285588801552265,-1.7251822827836865,-1.7251822827836865,-1.7251822827836865,-1.7251822827836865,-1.7251822827836865,-1.7213336775232682,-1.7213336775232682
698,-1.7840909609717839,-1.7840909609717839,-1.7818836241090645,-1.7818836241090645,-1.7818836241090645,-1.779484270854553,-1.779484270854553,-1.779484270854553,-1.7768152218011366,-1.7768152218011366,-1.7768152218011366,-1.7738096241174954,-1.7738096241174954,-1.7738096241174945,-1.770479706269625,-1.770479706269625,-1.770479706269625,-1.770479706269625,-1.770479706269625,-1.7666465884627813,-1.7666465884627813
699,-1.8293610552540067,-1.8293610552540067,-1.8271395861173798,-1.8271395861173798,-1.8271395861173798,-1.824735503191918,-1.824735503191918,-1.824735503191918,-1.8221065226382742,-1.8221065226382742,-1.8221065226382742,-1.8191251822494388,-1.8191251822494388,-1.8191251822494388,-1.8157772726746537,-1.8157772726746537,-1.8157772726746537,-1.8157772726746537,-1.8157772726746537,-1.8119977143022523,-1.8119977143022523
700,-1.8103955437462882,-1.8103955437462882,-1.8082070401990675,-1.8082070401990675,-1.8082070401990675,-1.805794438128736,-1.805794438128736,-1.805794438128736,-1.803162217685471,-1.803162217685471,-1.8031622176854705,-1.8002259191437386,-1.8002259191437382,-1.8002259191437382,-1.7968820420868972,-1.7968820420868972,-1.7968820420868972,-1.7968820420868972,-1.7968820420868972,-1.7931132343517806,-1.7931132343517806
701,-1.7800819649806447,-1.7800819649806447,-1.7779264270228299,-1.7779264270228299,-1.7779264270228299,-1.7755524182089997,-1.7755524182089997,-1.7755524182089997,-1.772909281657538,-1.772909281657538,-1.772909281657538,-1.769978588780114,-1.769978588780114,-1.769978588780114,-1.7666855428771315,-1.7666855428771315,-1.7666855428771315,-1.766685542877131,-1.766685542877131,-1.7628875936296335,-1.7628875936296335
702,-1.7498464257438915,-1.7498464257438915,-1.7476459429604256,-1.7476459429604256,-1.7476459429604256,-1.7453105274030962,-1.7453105274030962,-1.7453105274030962,-1.7427114213929693,-1.7427114213929693,-1.7427114213929693,-1.7397571695141112,-1.7397571695141112,-1.7397571695141112,-1.7364891727811989,-1.7364891727811989,-1.7364891727811989,-1.7364891727811989,-1.7364891727811989,-1.7327493676536534,-1.7327493676536534
703,-1.691152646406394,-1.691152646406394,-1.688980060953833,-1.688980060953833,-1.688980060953833,-1.6865914186538173,-1.6865914186538173,-1.6865914186538173,-1.6840363431850243,-1.6840363431850243,-1.6840363431850243,-1.6811315258093957,-1.6811315258093957,-1.6811315258093957,-1.6778155847418894,-1.6778155847418885,-1.6778155847418885,-1.6778155847418885,-1.6778155847418885,-1.6741339237342956,-1.6741339237342956
704,-1.5051206594342408,-1.5051206594342408,-1.502984396305262,-1.502984396305262,-1.502984396305262,-1.500633183473552,-1.500633183473552,-1.500633183473552,-1.4980230573424222,-1.4980230573424222,-1.4980230573424222,-1.495167674470025,-1.495167674470025,-1.495167674470025,-1.4919074218126593,-1.4919074218126593,-1.4919074218126593,-1.4919074218126593,-1.4919074218126593,-1.488180272180283,-1.488180272180283
705,-1.318865811260543,-1.318865811260543,-1.316738268474789,-1.316738268474789,-1.316738268474789,-1.3144296500505286,-1.3144296500505286,-1.3144296500505277,-1.3118577354495446,-1.3118577354495446,-1.3118577354495446,-1.3089533599487515,-1.3089533599487515,-1.3089533599487515,-1.3057488066757088,-1.3057488066757088,-1.3057488066757088,-1.3057488066757088,-1.3057488066757088,-1.302043243342787,-1.302043243342787
706,-1.1326949973033695,-1.1326949973033695,-1.1305351919975148,-1.1305351919975148,-1.1305351919975148,-1.1282262270843395,-1.1282262270843395,-1.1282262270843395,-1.1257029291449872,-1.1257029291449872,-1.1257029291449872,-1.1228261967418698,-1.1228261967418698,-1.1228261967418698,-1.1195903019955953,-1.1195903019955953,-1.1195903019955953,-1.1195903019955953,-1.1195903019955953,-1.1159482968041337,-1.1159482968041337
707,-0.9457546862279416,-0.9457546862279411,-0.9436350673249043,-0.9436350673249039,-0.9436350673249039,-0.9413037704902822,-0.9413037704902822,-0.9413037704902822,-0.9387786257221737,-0.9387786257221737,-0.9387786257221737,-0.9359564238376024,-0.9359564238376024,-0.9359564238376024,-0.9327245798706909,-0.9327245798706909,-0.9327245798706909,-0.9327245798706909,-0.9327245798706909,-0.9290838531472239,-0.9290838531472239
708,-0.7567894354710232,-0.7567894354710232,-0.7547100029708034,-0.7547100029708034,-0.7547100029708034,-0.7524259090625973,-0.7524259090625973,-0.7524259090625973,-0.7498781823967451,-0.7498781823967451,-0.7498781823967451,-0.7470617112518458,-0.7470617112518458,-0.7470617112518458,-0.7438912314341755,-0.7438912314341755,-0.7438912314341755,-0.743891231434175,-0.743891231434175,-0.740214068061229,-0.740214068061229
709,-0.5679126505802052,-0.5679126505802052,-0.5657850349057425,-0.5657850349057425,-0.5657850349057425,-0.5635481439239516,-0.5635481439239516,-0.5635481439239516,-0.5610543205104765,-0.5610543205104765,-0.5610543205104765,-0.5582019198280392,-0.5582019198280392,-0.5582019198280392,-0.5550579792866996,-0.5550579792866996,-0.5550579792866996,-0.5550579792866996,-0.5550579792866996,-0.5514507043638812,-0.5514507043638812
710,-0.37907579587234563,-0.37907579587234563,-0.37696981397354445,-0.37696981397354445,-0.37696981397354445,-0.3746704703203192,-0.37467047032031875,-0.37467047032031875,-0.37223055015922135,-0.37223055015922135,-0.37223055015922135,-0.3694385633115598,-0.3694385633115598,-0.36943856331155933,-0.36623034314345526,-0.36623034314345526,-0.36623034314345526,-0.36623034314345526,-0.36623034314345526,-0.36268743220154587,-0.36268743220154587
711,-0.1887090798897083,-0.1887090798897083,-0.18664771962818094,-0.18664771962818094,-0.18664771962818094,-0.18438555355067388,-0.18438555355067365,-0.18438555355067365,-0.18187691853318821,-0.18187691853318821,-0.18187691853318821,-0.1791453455203028,-0.1791453455203028,-0.1791453455203028,-0.1760050428588803,-0.1760050428588803,-0.1760050428588803,-0.1760050428588803,-0.1760050428588803,-0.17239429876443324,-0.17239429876443324
712,0.002499641367508687,0.002499641367508687,0.0045353920534294545,0.0045353920534294545,0.0045353920534296766,0.0067450635084507216,0.006745063508450944,0.006745063508450944,0.009212021532286618,0.009212021532286618,0.009212021532286618,0.012008889607201256,0.012008889607201256,0.012008889607201256,0.015081274761941987,0.015081274761941987,0.015081274761941987,0.01508127476194221,0.01508127476194221,0.018659091187914978,0.018659091187914978
713,0.1935800961908093,0.1935800961908093,0.1956758895101106,0.1956758895101106,0.1956758895101106,0.19787560338384924,0.19787560338384924,0.19787560338384946,0.2002825847143318,0.20028258471433202,0.20028258471433202,0.2030476669491762,0.2030476669491762,0.2030476669491762,0.20616751519903864,0.20616751519903864,0.20616751519903864,0.20616751519903886,0.20616751519903886,0.20966809558298138,0.20966809558298138
