Time(s),Initial_Profile,Profile_iter_1,Profile_iter_2,Profile_iter_3
676,0.08359080746832762,0.08561193166977733,0.08734899732546025,0.0897627281324937
677,0.08359080746832787,0.08561193166977726,0.08734899732546018,0.08976272813249359
678,0.08359080746832773,0.08561193166977737,0.08734899732546017,0.08976272813249364
679,0.08359080746832788,0.08561193166977728,0.08734899732546043,0.0897627281324939
680,0.08359080746832792,0.08561193166977732,0.08734899732546025,0.08976272813249361
681,0.08359080746832799,0.08561193166977742,0.08734899732546056,0.0897627281324936
682,0.08359080746832787,0.08561193166977728,0.08734899732546032,0.08976272813249378
683,0.0835908074683279,0.08561193166977739,0.08734899732546023,0.08976272813249389
684,0.08359080746832788,0.08561193166977757,0.08734899732546038,0.08976272813249365
685,0.08359080746832798,0.08561193166977732,0.08734899732546039,0.08976272813249384
686,0.08359080746832785,0.08561193166977764,0.08734899732546035,0.08976272813249382
687,0.08359080746832784,0.08561193166977726,0.08734899732546032,0.08976272813249359
688,0.08359080746832774,0.08561193166977722,0.0873489973254605,0.08976272813249388
689,0.0835908074683278,0.08561193166977725,0.08734899732546064,0.08976272813249367
690,0.08359080746832777,0.08561193166977762,0.08734899732546035,0.08976272813249372
691,0.08359080746832796,0.08561193166977737,0.08734899732546043,0.08976272813249392
692,0.0835908074683279,0.08561193166977732,0.08734899732546028,0.08976272813249365
693,0.08359080746832784,0.08561193166977762,0.08734899732546057,0.08976272813249372
694,0.08359080746832767,0.08561193166977762,0.08734899732546023,0.08976272813249384
695,0.08359080746832796,0.0856119316697776,0.08734899732546031,0.0897627281324939
696,0.08359080746832784,0.08561193166977726,0.08734899732546025,0.08976272813249363
697,0.08359080746832796,0.08561193166977736,0.08734899732546025,0.08976272813249375
698,0.08359080746832798,0.08561193166977749,0.08734899732546028,0.08976272813249361
699,0.08359080746832778,0.08561193166977728,0.08734899732546028,0.08976272813249384
700,0.08359080746832756,0.08561193166977751,0.08734899732546031,0.08976272813249386
701,0.08359080746832769,0.08561193166977732,0.08734899732546042,0.08976272813249386
702,0.0835908074683279,0.08561193166977737,0.0873489973254606,0.0897627281324937
703,0.08359080746832767,0.08561193166977735,0.08734899732546045,0.08976272813249389
704,0.08359080746832767,0.0856119316697773,0.0873489973254603,0.08976272813249364
705,0.08359080746832781,0.08561193166977735,0.08734899732546034,0.0897627281324939
706,0.08359080746832769,0.08561193166977729,0.08734899732546061,0.08976272813249384
707,0.083590807468328,0.08561193166977767,0.0873489973254602,0.08976272813249365
708,0.08359080746832756,0.08561193166977737,0.08734899732546036,0.0897627281324937
709,0.08359080746832777,0.0856119316697773,0.0873489973254603,0.08976272813249363
710,0.08359080746832775,0.08561193166977746,0.08734899732546023,0.08976272813249367
711,0.08359080746832785,0.08561193166977742,0.0873489973254603,0.08976272813249374
712,0.08359080746832781,0.08561193166977742,0.0873489973254603,0.08976272813249384
713,0.08359080746832755,0.08561193166977721,0.08734899732546053,0.08976272813249397
714,0.08359080746832795,0.08561193166977754,0.08734899732546053,0.08976272813249386
715,0.08359080746832792,0.08561193166977765,0.08734899732546042,0.08976272813249353
716,0.08359080746832755,0.08561193166977721,0.0873489973254602,0.08976272813249397
717,0.08359080746832781,0.08561193166977742,0.08734899732546063,0.0897627281324935
718,0.08359080746832767,0.08561193166977736,0.08734899732546068,0.0897627281324938
719,0.08359080746832785,0.0856119316697774,0.08734899732546028,0.08976272813249395
720,0.0835908074683276,0.08561193166977735,0.08734899732546034,0.08976272813249367
